labels,Y,X,Z,sph_theta,sph_phi,sph_radius,theta,radius,type,ref,urchan
E28,5.546670402,4.157847823,4.627615703,53.1443516754078,33.7258288511904,8.33475123577788,-53.1443516754078,0.312634284160053,,,31
E29,4.762196763,2.697832099,6.297663028,60.4680126360769,49.0061824316591,8.34370275466238,-60.4680126360769,0.227743430935227,,,32
E30,3.695490968,0.960411022,7.627828134,75.4318344800771,63.4088918761815,8.5301116562206,-75.4318344800771,0.147728378465659,,,33
E31,1.955187826,-0.684381878,8.564858511,109.291772852777,76.4034830599812,8.81180681264192,-109.291772852777,0.0755362052223266,,,34
E32,5.787677636,5.520863216,-2.577468644,46.3515894409914,-17.8610754062197,8.40359968577988,-46.3515894409914,0.599228196701221,,,35
E33,6.399087198,4.127248875,-0.356852241,57.1790106114874,-2.68315001877935,7.62298129118149,-57.1790106114874,0.514906388993219,,,36
E34,6.823959684,2.968422112,2.430080351,66.4909622507194,18.0845459796175,7.82836164955249,-66.4909622507194,0.399530300113236,,,37
E35,6.414469893,1.490027747,4.741794544,76.9225935088761,35.7562346511559,8.11481498202772,-76.9225935088761,0.301354251938023,,,38
E36,5.47913021,0.284948655,6.38332782,87.0229471585147,49.3206082007449,8.41718109890163,-87.0229471585147,0.225996621106973,,,39
E37,3.909902609,-1.519049882,7.764134929,111.231819582071,61.6195918847983,8.824774339981,-111.231819582071,0.157668933973343,,,40
E38,6.550732888,3.611543152,-3.353155926,61.1312193439425,-24.1449315623417,8.19749961712423,-61.1312193439425,0.634138508679676,,,41
E39,7.191620108,0.850096250999999,-0.882936903,83.2585491531442,-6.95142996142668,7.29531637342983,-83.2585491531442,0.538619055341259,,,42
E40,7.391919265,0.0321515839999981,2.143634599,89.7507902366152,16.1718568281728,7.69653645730739,-89.7507902366152,0.410156350954595,,,43
E41,6.905051715,-0.800953972000001,4.600056501,96.6164756775109,33.4946024610751,8.33557354142349,-96.6164756775109,0.313918875216249,,,44
E42,5.956055073,-2.338984312,6.00361353,111.440281839919,43.1746847311255,8.77432704325467,-111.440281839919,0.260140640382636,,,45
E43,6.518995129,2.417299399,-5.253637073,69.6547868585238,-37.0754525436208,8.71443264769035,-69.6547868585238,0.705974736353449,,,46
E44,6.840717711,1.278489412,-3.5553823,79.4138878742049,-27.0621348919085,7.81477429471501,-79.4138878742049,0.650345193843936,,,47
E45,7.304625099,-1.866238006,-0.629182006,104.33175744558,-4.77051423103627,7.56546509665161,-104.33175744558,0.52650285683909,,,48
E46,7.312517928,-2.298574078,2.385298838,107.449713865737,17.2852345392139,8.02782733907121,-107.449713865737,0.403970919226589,,,49
E47,6.737313764,-3.011819533,4.178390203,114.086346392077,29.5180033771209,8.48064846238013,-114.086346392077,0.336011092349328,,,50
E50,6.78248072,-4.023512045,-0.232191092,120.677320845054,-1.68647550083486,7.88952511857564,-120.677320845054,0.509369308337971,,,53
E51,6.558030032,-4.667036048,2.749989597,125.43763751286,18.8626938253038,8.50596415214369,-125.43763751286,0.39520725652609,,,54
E52,5.831241498,-4.494821698,4.955347697,127.625656592164,33.9425205438822,8.87481100097191,-127.625656592164,0.311430441422877,,,55
E53,4.193518856,-4.037020083,6.982920038,133.910686303638,50.1856079652096,9.09089125461716,-133.910686303638,0.221191066859946,,,56
E54,2.270752074,-3.414835627,8.204556551,146.37741567624,63.4426245035404,9.17235877730264,-146.37741567624,0.147540974980331,,,57
E55,-2.61871553867296e-16,-2.138343513,8.791875902,-180,76.3300520137357,9.04818185359675,180,0.0759441554792462,,,58
E57,6.580438308,-3.739554155,-2.991084431,119.608852342156,-21.5632934098482,8.13836713824968,-119.608852342156,0.619796074499157,,,60
E58,6.034746843,-5.755782196,0.051843011,133.644631183022,0.356178282926431,8.33965741770479,-133.644631183022,0.49802123176152,,,61
E59,5.204501802,-6.437833018,2.984444293,141.04707747797,19.8246465624866,8.7999682222547,-141.04707747797,0.389863074652852,,,62
E60,4.116929504,-6.061561438,5.365757296,145.816189990478,36.2146057027643,9.08201447736853,-145.816189990478,0.298807746095754,,,63
E61,2.344914884,-5.481057427,7.057748614,156.837713718969,49.8126232202742,9.2386379856392,-156.837713718969,0.22326320433181,,,64
E62,-8.17659197517504e-16,-6.676694032,6.465208258,-180,44.0780485061956,9.29393140798101,180,0.255121952743358,,,65
E64,5.404091392,-5.870302681,-2.891640039,137.367908149995,-19.9208053376389,8.48682740809498,-137.367908149995,0.610671140764661,,,67
E65,4.645302298,-7.280552408,0.130139701,147.460391385751,0.863322411276107,8.63725726994484,-147.460391385751,0.495203764381799,,,68
E66,3.608293164,-7.665487704,3.129931648,154.792727732359,20.2758511225695,9.03194073379007,-154.792727732359,0.387356382652391,,,69
E67,1.844644417,-7.354417376,5.224001733,165.919476940636,34.5660590624501,9.20762521348295,-165.919476940636,0.307966338541944,,,70
E69,3.528848027,-7.603010836,-2.818037873,155.102183075408,-18.5826266290561,8.84306958152301,-155.102183075408,0.603236814605867,,,72
E70,2.73883801900001,-8.607966849,0.239368223,162.350241600306,1.51791299886392,9.03635015445866,-162.350241600306,0.491567150006312,,,73
E71,1.404967401,-8.437486994,3.277284901,170.54613792653,20.9640400723391,9.16000635884683,-170.54613792653,0.383533110709227,,,74
E72,-9.58885808561492e-16,-7.829896826,4.687622229,-180,30.9082191028852,9.12584716437985,180,0.328287671650638,,,75
E74,1.125731192,-8.455208629,-2.632832329,172.416209207983,-17.1534761979377,8.92690482469626,-172.416209207983,0.595297089988543,,,77
E75,-1.10177633227079e-15,-8.996686498,0.487952047,-180,3.10450158384221,9.00990927498535,180,0.482752768978654,,,78
E76,-1.404967401,-8.437486994,3.277284901,-170.54613792653,20.9640400723391,9.16000635884683,170.54613792653,0.383533110709227,,,79
E77,-1.844644417,-7.354417376,5.224001733,-165.919476940636,34.5660590624501,9.20762521348295,165.919476940636,0.307966338541944,,,80
E78,-2.344914884,-5.481057427,7.057748614,-156.837713718969,49.8126232202742,9.2386379856392,156.837713718969,0.22326320433181,,,81
E79,-2.270752074,-3.414835627,8.204556551,-146.37741567624,63.4426245035404,9.17235877730264,146.37741567624,0.147540974980331,,,82
E80,-1.955187826,-0.684381878,8.564858511,-109.291772852777,76.4034830599812,8.81180681264192,109.291772852777,0.0755362052223266,,,83
E82,-1.125731192,-8.455208629,-2.632832329,-172.416209207983,-17.1534761979377,8.92690482469626,172.416209207983,0.595297089988543,,,85
E83,-2.73883801900001,-8.607966849,0.239368223,-162.350241600306,1.51791299886392,9.03635015445866,162.350241600306,0.491567150006312,,,86
E84,-3.608293164,-7.665487704,3.129931648,-154.792727732359,20.2758511225695,9.03194073379007,154.792727732359,0.387356382652391,,,87
E85,-4.116929504,-6.061561438,5.365757296,-145.816189990478,36.2146057027643,9.08201447736853,145.816189990478,0.298807746095754,,,88
E86,-4.193518856,-4.037020083,6.982920038,-133.910686303638,50.1856079652096,9.09089125461716,133.910686303638,0.221191066859946,,,89
E87,-3.909902609,-1.519049882,7.764134929,-111.231819582071,61.6195918847983,8.824774339981,111.231819582071,0.157668933973343,,,90
E89,-3.528848027,-7.603010836,-2.818037873,-155.102183075408,-18.5826266290561,8.84306958152301,155.102183075408,0.603236814605867,,,92
E90,-4.645302298,-7.280552408,0.130139701,-147.460391385751,0.863322411276107,8.63725726994484,147.460391385751,0.495203764381799,,,93
E91,-5.204501802,-6.437833018,2.984444293,-141.04707747797,19.8246465624866,8.7999682222547,141.04707747797,0.389863074652852,,,94
E92,-5.831241498,-4.494821698,4.955347697,-127.625656592164,33.9425205438822,8.87481100097191,127.625656592164,0.311430441422877,,,95
E93,-5.956055073,-2.338984312,6.00361353,-111.440281839919,43.1746847311255,8.77432704325467,111.440281839919,0.260140640382636,,,96
E95,-5.404091392,-5.870302681,-2.891640039,-137.367908149995,-19.9208053376389,8.48682740809498,137.367908149995,0.610671140764661,,,98
E96,-6.034746843,-5.755782196,0.051843011,-133.644631183022,0.356178282926431,8.33965741770479,133.644631183022,0.49802123176152,,,99
E97,-6.558030032,-4.667036048,2.749989597,-125.43763751286,18.8626938253038,8.50596415214369,125.43763751286,0.39520725652609,,,100
E98,-6.737313764,-3.011819533,4.178390203,-114.086346392077,29.5180033771209,8.48064846238013,114.086346392077,0.336011092349328,,,101
E100,-6.580438308,-3.739554155,-2.991084431,-119.608852342156,-21.5632934098482,8.13836713824968,119.608852342156,0.619796074499157,,,103
E101,-6.78248072,-4.023512045,-0.232191092,-120.677320845054,-1.68647550083486,7.88952511857564,120.677320845054,0.509369308337971,,,104
E102,-7.312517928,-2.298574078,2.385298838,-107.449713865737,17.2852345392139,8.02782733907121,107.449713865737,0.403970919226589,,,105
E103,-6.905051715,-0.800953972000001,4.600056501,-96.6164756775109,33.4946024610751,8.33557354142349,96.6164756775109,0.313918875216249,,,106
E104,-5.47913021,0.284948655,6.38332782,-87.0229471585147,49.3206082007449,8.41718109890163,87.0229471585147,0.225996621106973,,,107
E105,-3.695490968,0.960411022,7.627828134,-75.4318344800771,63.4088918761815,8.5301116562206,75.4318344800771,0.147728378465659,,,108
E106,-1.223800252,1.558864431,8.44043914,-38.133998380822,76.7860583820694,8.66999182508704,38.133998380822,0.0734107867662809,,,109
E108,-7.304625099,-1.866238006,-0.629182006,-104.33175744558,-4.77051423103627,7.56546509665161,104.33175744558,0.52650285683909,,,111
E109,-7.391919265,0.0321515839999981,2.143634599,-89.7507902366152,16.1718568281728,7.69653645730739,89.7507902366152,0.410156350954595,,,112
E110,-6.414469893,1.490027747,4.741794544,-76.9225935088761,35.7562346511559,8.11481498202772,76.9225935088761,0.301354251938023,,,113
E111,-4.762196763,2.697832099,6.297663028,-60.4680126360769,49.0061824316591,8.34370275466238,60.4680126360769,0.227743430935227,,,114
E112,-2.435870762,3.254307219,7.608766206,-36.8151001737827,61.8867161194391,8.62654652931111,36.8151001737827,0.15618491044756,,,115
E114,-6.840717711,1.278489412,-3.5553823,-79.4138878742049,-27.0621348919085,7.81477429471501,79.4138878742049,0.650345193843936,,,117
E115,-7.191620108,0.850096250999999,-0.882936903,-83.2585491531442,-6.95142996142668,7.29531637342983,83.2585491531442,0.538619055341259,,,118
E116,-6.823959684,2.968422112,2.430080351,-66.4909622507194,18.0845459796175,7.82836164955249,66.4909622507194,0.399530300113236,,,119
E117,-5.546670402,4.157847823,4.627615703,-53.1443516754078,33.7258288511904,8.33475123577788,53.1443516754078,0.312634284160053,,,120
E118,-3.825797111,5.121648995,5.942844877,-36.7591949568984,42.9109626443444,8.7284258142351,36.7591949568984,0.261605763086976,,,121
E120,-6.518995129,2.417299399,-5.253637073,-69.6547868585238,-37.0754525436208,8.71443264769035,69.6547868585238,0.705974736353449,,,123
E121,-6.550732888,3.611543152,-3.353155926,-61.1312193439425,-24.1449315623417,8.19749961712423,61.1312193439425,0.634138508679676,,,124
E122,-6.399087198,4.127248875,-0.356852241,-57.1790106114874,-2.68315001877935,7.62298129118149,57.1790106114874,0.514906388993219,,,125
E123,-5.682547954,5.453384344,2.836565436,-46.1789093469774,19.8067309630265,8.37119200147767,46.1789093469774,0.389962605760964,,,126
E124,-4.459387187,6.021159964,4.365321482,-36.5243617118728,30.2255143836091,8.67159345431201,36.5243617118728,0.332080475646616,,,127
Cz,0,5.44918034114709e-16,8.899186843,0,90,8.899186843,-0,0,,,132
